n,p_orbit_fail,p_fuel_fail,p_q_violate,p_g_violate,p_any_failure
288,0.9375,0.0,0.5694444444444444,0.5069444444444444,0.9756944444444444
289,0.9377162629757786,0.0,0.5674740484429066,0.5086505190311419,0.9757785467128027
290,0.9379310344827586,0.0,0.5655172413793104,0.506896551724138,0.9758620689655172
291,0.9381443298969072,0.0,0.563573883161512,0.5085910652920962,0.9759450171821306
292,0.9383561643835616,0.0,0.565068493150685,0.5102739726027398,0.976027397260274
293,0.9385665529010239,0.0,0.5665529010238908,0.5119453924914675,0.9761092150170648
294,0.9387755102040817,0.0,0.5680272108843537,0.5102040816326531,0.9761904761904762
295,0.9389830508474576,0.0,0.5694915254237288,0.511864406779661,0.976271186440678
296,0.9391891891891891,0.0,0.5709459459459459,0.5135135135135135,0.9763513513513513
297,0.9393939393939394,0.0,0.5723905723905723,0.5117845117845118,0.9764309764309764
298,0.9395973154362416,0.0,0.5704697986577181,0.5134228187919463,0.9765100671140939
299,0.939799331103679,0.0,0.568561872909699,0.5117056856187291,0.9765886287625418
300,0.94,0.0,0.57,0.51,0.9766666666666667
301,0.9401993355481728,0.0,0.5714285714285714,0.5116279069767442,0.9767441860465116
302,0.9403973509933775,0.0,0.5728476821192053,0.5132450331125827,0.9768211920529801
303,0.9405940594059405,0.0,0.5742574257425742,0.5115511551155115,0.976897689768977
304,0.9407894736842105,0.0,0.5756578947368421,0.5098684210526315,0.9769736842105263
305,0.940983606557377,0.0,0.5737704918032787,0.5114754098360655,0.9770491803278688
306,0.9411764705882353,0.0,0.5718954248366013,0.5130718954248366,0.9771241830065359
307,0.9413680781758957,0.0,0.5700325732899023,0.511400651465798,0.9771986970684039
308,0.9415584415584416,0.0,0.5714285714285714,0.5097402597402597,0.9772727272727273
309,0.941747572815534,0.0,0.5728155339805825,0.511326860841424,0.9773462783171522
310,0.9419354838709677,0.0,0.5741935483870968,0.5096774193548387,0.9774193548387097
311,0.9421221864951769,0.0,0.5755627009646302,0.5112540192926045,0.977491961414791
312,0.9423076923076923,0.0,0.5737179487179487,0.5128205128205128,0.9775641025641025
313,0.9424920127795527,0.0,0.5750798722044729,0.5111821086261981,0.9776357827476039
314,0.9426751592356688,0.0,0.5764331210191083,0.5095541401273885,0.9777070063694268
315,0.9428571428571428,0.0,0.5746031746031746,0.5079365079365079,0.9777777777777777
316,0.9430379746835443,0.0,0.5759493670886076,0.5063291139240507,0.9778481012658228
317,0.943217665615142,0.0,0.5772870662460567,0.5047318611987381,0.9779179810725552
318,0.9433962264150944,0.0,0.5786163522012578,0.5031446540880503,0.9779874213836478
319,0.9435736677115988,0.0,0.5799373040752351,0.5047021943573667,0.9780564263322884
320,0.94375,0.0,0.578125,0.50625,0.978125
321,0.9439252336448598,0.0,0.5763239875389408,0.5046728971962616,0.9781931464174455
322,0.9440993788819876,0.0,0.577639751552795,0.5031055900621118,0.9782608695652174
323,0.9442724458204335,0.0,0.5758513931888545,0.5046439628482973,0.978328173374613
324,0.9444444444444444,0.0,0.5771604938271605,0.5030864197530864,0.9783950617283951
325,0.9446153846153846,0.0,0.5784615384615385,0.5046153846153846,0.9784615384615385
326,0.9447852760736196,0.0,0.5797546012269938,0.5061349693251533,0.9785276073619632
327,0.944954128440367,0.0,0.581039755351682,0.5045871559633027,0.9785932721712538
328,0.9451219512195121,0.0,0.5823170731707317,0.5030487804878049,0.9786585365853658
329,0.9452887537993921,0.0,0.5835866261398176,0.5045592705167173,0.9787234042553191
